InnBaseOut,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1281,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00475,0.00783,0.01267,0.02014,0.03141,0.04796,0.07162,0.10444,0.14845,0.20525,0.27545,0.35805,0.45011,0.5466,0.64095,0.72643,0.79897,0.85692,0.901,0.93314,0.95576,0.97118,0.98141,0.98803,0.99222,0.99481,0.99638,0.99731,0.99786,0.99818,0.99818,0.99818,0.99818,0.99818,0.99818
1212,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00142,0.00246,0.00423,0.00714,0.01186,0.01933,0.03087,0.0483,0.07387,0.11024,0.16015,0.2258,0.30787,0.40435,0.5099,0.61374,0.70802,0.78722,0.84984,0.89696,0.93097,0.95467,0.97069,0.98123,0.988,0.99224,0.99485,0.99641,0.99734,0.99788,0.99788,0.99788,0.99788,0.99788,0.99788
1222,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00162,0.0028,0.00477,0.008,0.01318,0.02131,0.03378,0.05242,0.07952,0.11768,0.16948,0.23686,0.32014,0.4169,0.52166,0.62398,0.71636,0.79367,0.85461,0.90037,0.93333,0.95627,0.97176,0.98193,0.98846,0.99255,0.99506,0.99657,0.99746,0.99798,0.99798,0.99798,0.99798,0.99798,0.99798
1232,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00175,0.00301,0.00512,0.00855,0.01404,0.02262,0.03572,0.05523,0.08347,0.12305,0.17649,0.24557,0.33032,0.428,0.53256,0.63386,0.72466,0.80021,0.85953,0.90391,0.9358,0.95793,0.97284,0.98262,0.98888,0.9928,0.9952,0.99664,0.99749,0.99799,0.99799,0.99799,0.99799,0.99799,0.99799
1242,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00204,0.00347,0.00585,0.00968,0.01575,0.02514,0.03932,0.0602,0.09005,0.13135,0.18641,0.25667,0.3418,0.43892,0.54218,0.64179,0.73085,0.80483,0.86284,0.90621,0.93735,0.95895,0.9735,0.98304,0.98915,0.99297,0.99531,0.99671,0.99754,0.99803,0.99803,0.99803,0.99803,0.99803,0.99803
1252,0.00102,0.00102,0.00102,0.00102,0.00102,0.00102,0.00177,0.00305,0.00519,0.00868,0.01425,0.02297,0.03629,0.0561,0.08474,0.12485,0.17891,0.24864,0.33399,0.43209,0.53662,0.63758,0.7278,0.80272,0.86143,0.90529,0.93677,0.95859,0.97328,0.98291,0.98907,0.99293,0.99528,0.9967,0.99754,0.99802,0.99802,0.99802,0.99802,0.99802,0.99802
1262,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00209,0.00356,0.00599,0.00992,0.01612,0.02571,0.04017,0.06143,0.09179,0.13372,0.18949,0.26048,0.34624,0.44373,0.54689,0.64605,0.73441,0.80764,0.86495,0.90773,0.93841,0.95967,0.97397,0.98334,0.98934,0.99308,0.99538,0.99675,0.99757,0.99804,0.99804,0.99804,0.99804,0.99804,0.99804
1272,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00227,0.00386,0.00648,0.01068,0.01731,0.0275,0.0428,0.06516,0.09688,0.14038,0.19774,0.27005,0.35657,0.45372,0.55584,0.65347,0.74022,0.81197,0.86806,0.90988,0.93985,0.96061,0.97458,0.98372,0.98957,0.99322,0.99546,0.9968,0.99759,0.99805,0.99805,0.99805,0.99805,0.99805,0.99805
1282,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00284,0.00477,0.00788,0.01281,0.02044,0.03198,0.04902,0.0735,0.10759,0.15348,0.21292,0.28656,0.37332,0.46967,0.56996,0.66525,0.74951,0.81896,0.87311,0.91341,0.94225,0.9622,0.97559,0.98436,0.98996,0.99346,0.9956,0.99689,0.99764,0.99808,0.99808,0.99808,0.99808,0.99808,0.99808
2110,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00128,0.00224,0.00386,0.00655,0.01094,0.01793,0.02881,0.04532,0.06973,0.1047,0.15305,0.21719,0.29807,0.39401,0.5,0.60496,0.70077,0.78157,0.84565,0.89398,0.92893,0.95332,0.96983,0.98071,0.98769,0.99208,0.99478,0.9964,0.99736,0.99792,0.99792,0.99792,0.99792,0.99792,0.99792
